ID;UserID;timestamp;isVisible;version;changesetID;latitude;longitude;tags
N3693884890;3119079;2015-08-12T18:23:38Z;true;1;33297310;29.7200102;-95.3407309;[]
N3687667973;3119079;2015-08-09T05:36:34Z;true;1;33212368;29.7312311;-95.3398821;[]
N3693884897;3119079;2015-08-12T18:23:38Z;true;1;33297310;29.7200896;-95.3408033;[]
N3693884896;3119079;2015-08-12T18:23:38Z;true;1;33297310;29.7200801;-95.3409838;[]
N3693884899;3119079;2015-08-12T18:23:38Z;true;1;33297310;29.7201128;-95.3408502;[]
N3693884898;3119079;2015-08-12T18:23:38Z;true;1;33297310;29.7201108;-95.3410835;[]
N3693884893;3119079;2015-08-12T18:23:38Z;true;1;33297310;29.7200355;-95.3407684;[]
N3693884892;3119079;2015-08-12T18:23:38Z;true;1;33297310;29.720023;-95.3407256;[]
N3693884895;3119079;2015-08-12T18:23:38Z;true;1;33297310;29.7200404;-95.3404157;[]
N3693884894;3119079;2015-08-12T18:23:38Z;true;1;33297310;29.7200375;-95.3410012;[]
N3687667948;3119079;2015-08-09T05:36:34Z;true;1;33212368;29.7309194;-95.338869;[]
N3687667942;3119079;2015-08-09T05:36:34Z;true;1;33212368;29.7308631;-95.3382129;[]
N3687667943;3119079;2015-08-09T05:36:34Z;true;1;33212368;29.7308857;-95.3358275;[]
N3693884878;3119079;2015-08-12T18:23:38Z;true;1;33297310;29.7198168;-95.3401226;[]
N3693884879;3119079;2015-08-12T18:23:38Z;true;1;33297310;29.7198208;-95.340156;[]
N3683339902;3119079;2015-08-06T06:24:21Z;true;1;33146410;29.7205527;-95.3518479;[]
N3687667950;3119079;2015-08-09T05:36:34Z;true;1;33212368;29.7309358;-95.3359269;[]
N3784190253;3119079;2015-10-13T05:18:19Z;true;1;34603558;29.7227479;-95.3575098;[]
N3693884873;3119079;2015-08-12T18:23:38Z;true;1;33297310;29.7197785;-95.3401747;[]
N3693884872;3119079;2015-08-12T18:23:38Z;true;1;33297310;29.7197753;-95.3401393;[]
N3693884875;3119079;2015-08-12T18:23:38Z;true;1;33297310;29.7198056;-95.3402585;[]
N3693884874;3119079;2015-08-12T18:23:38Z;true;1;33297310;29.7197858;-95.3401712;[]
N3693884877;3119079;2015-08-12T18:23:38Z;true;1;33297310;29.7198134;-95.3402559;[]
N3693884876;3119079;2015-08-12T18:23:38Z;true;1;33297310;29.7198086;-95.3400979;[]
N3687667925;3119079;2015-08-09T05:36:33Z;true;1;33212368;29.7306118;-95.3359112;[]
N3683339912;3119079;2015-08-06T06:24:21Z;true;1;33146410;29.7205888;-95.3495104;[]
N3687667938;3119079;2015-08-09T05:36:34Z;true;1;33212368;29.7308037;-95.3335816;[]
